TEAM,TEAM NO,SEED,KADJ EM,KADJ O,KADJ D,BARTHAG,ELITE SOS,TALENT,EXP,O RATE,D RATE,RELATIVE RATING,INJURY RANK,ROSTER RANK,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,R64,R32,S16,E8,F4,FINALS
Arizona,1213,1,37.6556,127.676,90.0201,0.978,38.751,73.506,1.406,15.56147732,16.48353715,32.04501447,3.0,5.0,3,3,3,2,3.0,16,8,,,,,,
Duke,1207,1,38.8998,127.956,89.0562,0.981,38.433,91.161,0.856,17.46290754,17.3701003,34.83300784,2.0,2.0,1,1,2,1,1.0,17,6,,,,,,
Florida,1206,1,33.7928,125.535,91.7424,0.973,39.255,41.689,1.928,15.78875922,15.64875133,31.43751054,4.0,4.0,4,8,5,7,4.3,12,6,,,,,,
Michigan,1184,1,37.592,126.626,89.0343,0.98,41.856,69.852,1.947,17.37339906,17.12372885,34.49712792,1.0,1.0,2,2,1,3,2.0,16,6,,,,,,
Connecticut,1208,2,27.8694,121.986,94.1163,0.952,33.294,84.266,1.997,14.97698541,12.71936944,27.69635485,9.0,8.0,12,9,6,9,10.3,7,11,,,,,,
Houston,1199,2,33.4265,124.864,91.4372,0.971,36.826,81.968,1.553,14.1776245,16.76210683,30.93973133,5.0,6.0,5,5,4,8,4.7,10,9,,,,,,
Iowa St.,1194,2,32.423,123.826,91.4031,0.966,35.368,50.469,1.944,13.50895757,15.95241629,29.46137385,7.0,10.0,6,10,10,13,6.3,8,10,,,,,,
Purdue,1173,2,31.1992,131.635,100.436,0.964,41.305,59.3,2.015,22.30041367,7.999941763,30.30035544,6.0,3.0,7,4,7,10,8.3,11,6,,,,,,
Gonzaga,1203,3,28.1006,121.99,93.8895,0.944,24.986,36.781,2.11,11.77925483,14.10526985,25.88452468,12.0,13.0,8,28,17,5,9.7,7,4,,,,,,
Illinois,1196,3,32.1008,131.176,99.0756,0.968,38.28,63.056,1.548,18.93805662,9.224944952,28.16300158,8.0,7.0,9,15,18,19,6.7,7,5,,,,,,
Michigan St.,1183,3,28.31,123.049,94.7386,0.944,37.86,68.794,1.815,12.64662425,11.96760069,24.61422494,11.0,16.0,11,16,11,15,11.3,9,5,,,,,,
Virginia,1150,3,26.7098,122.516,95.8064,0.943,30.582,53.814,1.724,12.64728609,11.48374584,24.13103194,13.0,23.0,10,13,8,6,15.7,8,9,,,,,,
Alabama,1214,4,25.7196,129.004,103.284,0.934,40.729,73.555,1.526,17.28740381,5.920505263,23.20790907,17.0,15.0,18,14,14,23,16.7,7,9,,,,,,
Arkansas,1212,4,26.0527,127.658,101.605,0.934,38.371,80.525,1.457,17.11457705,6.709381875,23.82395893,15.0,11.0,16,17,15,11,19.0,8,8,,,,,,
Kansas,1193,4,24.4399,118.33,93.8906,0.928,41.65,57.848,1.629,8.610666895,13.27085144,21.88151833,19.0,18.0,21,7,16,21,21.3,9,7,,,,,,
Nebraska,1181,4,26.1577,118.544,92.3865,0.931,35.291,42.458,2.26,8.269946122,14.16986873,22.43981486,18.0,32.0,14,12,12,20,16.7,9,6,,,,,,
St. John's,1165,5,25.9079,120.068,94.1597,0.941,31.162,70.084,2.3,10.77297487,14.68097591,25.45395078,10.0,12.0,15,22,13,4,15.7,5,11,,,,,,
Texas Tech,1159,5,25.2243,125.05,99.8259,0.944,40.139,41.675,1.601,11.54237863,6.787035957,18.32941459,33.0,35.0,19,18,19,30,18.3,7,5,,,,,,
Vanderbilt,1153,5,27.5051,126.805,99.2995,0.946,37.121,35.964,2.308,16.04931714,7.970568512,24.01988565,14.0,14.0,13,6,9,16,11.7,10,7,,,,,,
Wisconsin,1149,5,23.3936,125.348,101.954,0.929,38.176,38.623,1.871,15.74631291,6.449820723,22.19613363,25.0,28.0,25,11,20,18,22.3,8,5,,,,,,
BYU,1211,6,23.2459,125.46,102.214,0.887,38.234,48.949,1.463,9.924997579,6.661667488,16.58666507,39.0,19.0,22,21,22,38,24.7,7,8,,,,,,
Louisville,1188,6,25.4242,124.053,98.6289,0.936,35.248,39.12,2.208,12.54890051,9.289274599,21.83817511,21.0,9.0,17,27,24,32,15.7,8,4,,,,,,
North Carolina,1180,6,20.842,121.387,100.545,0.903,33.421,63.835,1.523,8.192609625,6.553984655,14.74659428,46.0,41.0,23,26,21,25,28.7,6,5,,,,,,
Tennessee,1163,6,26.0249,121.055,95.0297,0.941,38.555,59.748,1.473,11.17579547,12.34186199,23.51765745,16.0,21.0,20,19,23,39,14.3,6,6,,,,,,
Kentucky,1191,7,21.4832,120.516,99.0324,0.89,40.797,85.092,1.581,10.73359219,9.474924967,20.20851715,24.0,20.0,28,23,26,45,27.3,5,7,,,,,,
Miami FL,1186,7,20.6799,121.357,100.677,0.884,29.331,80.783,1.67,11.58787275,7.092908774,18.68078153,27.0,25.0,32,24,25,26,35.3,6,6,,,,,,
Saint Mary's,1170,7,23.0701,120.26,97.1899,0.91,22.727,36.989,1.349,9.94249487,10.73033286,20.67282773,22.0,45.0,24,58,31,12,25.0,1,8,,,,,,
UCLA,1156,7,21.667,123.728,102.061,0.911,36.27,70.281,2.244,13.0991663,7.241824809,20.3409911,28.0,22.0,31,25,27,33,25.7,5,5,,,,,,
Clemson,1209,8,19.2364,116.522,97.2852,0.892,31.538,43.89,2.344,6.400401361,10.15557226,16.55597362,37.0,46.0,34,30,29,35,31.7,6,7,,,,,,
Georgia,1204,8,20.4792,124.681,104.202,0.877,32.391,61.02,1.553,13.18903627,5.028545559,18.21758183,29.0,30.0,33,31,34,47,34.0,6,6,,,,,,
Ohio St.,1176,8,22.2397,124.305,102.066,0.917,37.869,68.946,1.779,14.88048012,6.362613635,21.24309376,20.0,17.0,29,42,32,37,25.0,4,5,,,,,,
Villanova,1151,8,19.9691,120.369,100.4,0.881,30.123,63.75,1.548,7.769744337,7.493082011,15.26282635,45.0,50.0,35,51,28,31,35.0,2,8,,,,,,
Iowa,1195,9,22.4441,121.742,99.2974,0.907,35.51,14.299,1.776,12.13587274,7.970848431,20.10672117,23.0,26.0,27,44,38,54,27.3,4,5,,,,,,
Saint Louis,1171,9,18.321,119.475,101.154,0.858,15.895,21.913,1.939,10.22825178,7.411491714,17.6397435,30.0,48.0,30,63,42,34,39.7,2,6,,,,,,
TCU,1164,9,17.5867,115.379,97.7924,0.836,33.811,50.351,1.807,6.873652262,9.204741989,16.07839425,41.0,43.0,39,20,33,36,46.3,6,7,,,,,,
Utah St.,1154,9,20.7574,122.132,101.374,0.895,23.033,26.458,2.185,12.23975101,5.328099011,17.56785002,31.0,40.0,26,41,30,14,31.0,4,9,,,,,,
Missouri,1182,10,15.3923,119.491,104.099,0.851,34.025,66.401,2.282,10.06093542,4.369814498,14.43074992,49.0,36.0,59,29,41,62,47.3,5,4,,,,,,
Santa Clara,1169,10,19.3981,123.644,104.246,0.895,24.151,20.016,1.435,12.84640972,3.980549866,16.82695959,36.0,58.0,40,59,36,24,37.3,2,6,,,,,,
Texas A&M,1160,10,18.6679,119.69,101.022,0.873,32.472,29.541,2.497,9.78126494,6.569664225,16.35092916,40.0,42.0,44,33,39,50,36.7,5,4,,,,,,
UCF,1157,10,15.0386,120.452,105.413,0.812,33.921,42.096,2.429,8.578056659,2.626738495,11.20479515,60.0,67.0,51,36,35,55,56.0,5,6,,,,,,
Miami OH,1185,11,8.2572,116.779,108.522,0.718,8.266,11.186,1.693,7.015173233,1.325421672,8.340594906,81.0,94.0,64,105,37,22,90.7,0,3,,,,,,
North Carolina St.,1179,11,19.5967,124.052,104.456,0.877,32.779,63.205,2.189,12.29494731,4.191324277,16.48627159,38.0,24.0,36,32,43,61,36.3,5,6,,,,,,
SMU,1167,11,18.0856,122.893,104.808,0.861,32.0,44.289,2.034,12.16739286,4.472081061,16.63947392,48.0,29.0,37,48,45,69,42.0,4,5,,,,,,
South Florida,1166,11,16.3874,117.305,100.918,0.835,18.197,30.828,2.247,8.095163702,7.732350862,15.82751456,42.0,44.0,46,65,58,28,50.7,2,6,,,,,,
Texas,1161,11,19.0333,124.97,105.937,0.854,37.671,55.968,2.238,13.6152167,3.213718725,16.82893543,35.0,34.0,42,35,46,79,40.3,6,1,,,,,,
VCU,1152,11,17.2061,119.872,102.666,0.843,19.63,21.117,1.703,9.58327212,6.534899622,16.11817174,43.0,53.0,43,66,40,17,47.0,2,5,,,,,,
Akron,1215,12,12.7986,118.82,106.022,0.773,11.162,12.8,2.447,8.220466052,2.990778503,11.21124456,59.0,74.0,53,114,53,27,70.7,0,0,,,,,,
High Point,1201,12,8.40428,117.048,108.644,0.699,5.665,13.909,2.541,6.879816492,1.794769496,8.674585988,78.0,87.0,75,117,71,44,82.7,0,0,,,,,,
McNeese St.,1187,12,12.5017,114.306,101.805,0.764,14.16,48.482,1.919,3.794224674,6.792069425,10.5862941,65.0,71.0,56,109,48,29,67.0,0,2,,,,,,
Northern Iowa,1177,12,11.8089,110.001,98.1918,0.774,14.539,19.874,2.321,1.754873408,8.846915174,10.60178858,64.0,97.0,72,103,99,77,74.3,0,4,,,,,,
Cal Baptist,1210,13,5.99314,107.926,101.933,0.689,12.593,1.476,2.169,-1.621007279,5.385308337,3.764301058,113.0,205.0,98,108,76,46,113.0,0,2,,,,,,
Hawaii,1202,13,5.96572,107.129,101.163,0.636,10.053,9.248,2.599,-1.035482791,4.344121307,3.308638515,118.0,130.0,101,140,95,70,115.0,0,0,,,,,,
Hofstra,1200,13,9.49239,114.57,105.077,0.704,11.966,0.2,1.895,4.593376447,5.384032481,9.977408928,73.0,126.0,87,144,102,57,94.0,0,2,,,,,,
Troy,1158,13,1.72038,110.717,108.997,0.544,11.323,0.2,1.897,2.583532491,1.824603073,4.408135564,111.0,133.0,125,121,129,93,139.7,1,2,,,,,,
Kennesaw St.,1192,14,0.572421,110.636,110.064,0.534,11.706,13.242,1.297,1.998331174,-0.84644959,1.151881584,161.0,156.0,154,202,160,123,144.3,0,0,,,,,,
North Dakota St.,1178,14,5.13396,111.74,106.606,0.639,8.155,0.2,1.834,2.72146362,1.405487745,4.126951365,110.0,148.0,114,156,92,60,120.0,0,0,,,,,,
Penn,1175,14,1.46919,107.363,105.894,0.531,12.952,17.192,1.869,-1.916604213,2.796983181,0.880378969,163.0,191.0,143,134,125,91,159.7,0,1,,,,,,
Wright St.,1148,14,2.04414,112.057,110.013,0.587,9.832,0.2,1.245,2.677628771,-1.384984413,1.292644358,147.0,146.0,126,163,136,81,136.7,0,0,,,,,,
Furman,1205,15,-1.9789,107.451,109.43,0.444,7.376,11.546,1.607,0.490301861,0.437551772,0.927853633,150.0,158.0,186,194,165,162,181.3,0,0,,,,,,
Idaho,1197,15,1.53307,108.842,107.309,0.57,11.302,0.2,2.008,-0.254380501,0.197662807,-0.056717694,171.0,177.0,144,191,198,120,151.0,0,0,,,,,,
Queens,1172,15,-1.43724,115.771,117.209,0.439,14.561,9.008,1.734,5.961952542,-7.935541429,-1.973588887,191.0,170.0,187,179,138,128,191.0,0,0,,,,,,
Tennessee St.,1162,15,-1.82605,109.085,110.911,0.394,8.742,3.291,2.506,0.740854652,-0.345543959,0.395310692,158.0,212.0,172,209,115,111,203.7,0,1,,,,,,
Howard,1198,16,-3.18939,103.142,106.331,0.424,8.612,0.2,1.89,-4.873919861,3.843650901,-1.03026896,178.0,240.0,203,195,132,165,205.7,0,1,,,,,,
LIU Brooklyn,1189,16,-3.95107,105.631,109.582,0.341,9.691,0.2,2.414,-3.857612371,0.640028027,-3.217584343,206.0,235.0,198,169,122,143,222.7,0,0,,,,,,
Lehigh,1190,16,-10.3689,102.717,113.086,0.252,9.479,0.826,1.368,-5.192335885,-3.090372597,-8.282708482,267.0,299.0,276,281,243,226,285.0,0,0,,,,,,
Prairie View A&M,1174,16,-10.6932,101.205,111.898,0.254,10.925,0.231,2.802,-7.214760626,-2.859131055,-10.07389168,293.0,327.0,300,315,257,236,288.7,0,0,,,,,,
Siena,1168,16,-2.09721,107.134,109.231,0.455,6.825,3.878,1.725,-0.340314211,0.399030324,0.058716113,175.0,171.0,184,206,155,113,191.3,0,0,,,,,,
UMBC,1155,16,-1.66619,108.224,109.89,0.456,7.273,7.798,2.082,0.202128644,-0.234595057,-0.032466413,162.0,249.0,196,160,106,117,183.3,0,0,,,,,,
